"total_ba" "fsyl" "qrob" "qrub" "with(X_4pred, fsyl * qrob)" "with(X_4pred, fsyl * qrub)" "with(X_4pred, qrub * qrob)"
0 1 0 0 0 0 0
0 0.888888888888889 0.111111111111111 0 0.0987654320987654 0 0
0 0.666666666666667 0.333333333333333 0 0.222222222222222 0 0
0 0.555555555555556 0.444444444444444 0 0.246913580246914 0 0
0 0.444444444444444 0.555555555555556 0 0.246913580246914 0 0
0 0.333333333333333 0.666666666666667 0 0.222222222222222 0 0
0 0.111111111111111 0.888888888888889 0 0.0987654320987654 0 0
0 0 1 0 0 0 0
0 0.888888888888889 0 0.111111111111111 0 0.0987654320987654 0
0 0.666666666666667 0.222222222222222 0.111111111111111 0.148148148148148 0.0740740740740741 0.0246913580246914
0 0.555555555555556 0.333333333333333 0.111111111111111 0.185185185185185 0.0617283950617284 0.037037037037037
0 0.444444444444444 0.444444444444444 0.111111111111111 0.197530864197531 0.0493827160493827 0.0493827160493827
0 0.333333333333333 0.555555555555556 0.111111111111111 0.185185185185185 0.037037037037037 0.0617283950617284
0 0.222222222222222 0.666666666666667 0.111111111111111 0.148148148148148 0.0246913580246914 0.0740740740740741
0 0 0.888888888888889 0.111111111111111 0 0 0.0987654320987654
0 0.666666666666667 0.111111111111111 0.222222222222222 0.0740740740740741 0.148148148148148 0.0246913580246914
0 0.555555555555556 0.222222222222222 0.222222222222222 0.123456790123457 0.123456790123457 0.0493827160493827
0 0.444444444444444 0.333333333333333 0.222222222222222 0.148148148148148 0.0987654320987654 0.0740740740740741
0 0.333333333333333 0.444444444444444 0.222222222222222 0.148148148148148 0.0740740740740741 0.0987654320987654
0 0.222222222222222 0.555555555555556 0.222222222222222 0.123456790123457 0.0493827160493827 0.123456790123457
0 0.111111111111111 0.666666666666667 0.222222222222222 0.0740740740740741 0.0246913580246914 0.148148148148148
0 0.666666666666667 0 0.333333333333333 0 0.222222222222222 0
0 0.555555555555556 0.111111111111111 0.333333333333333 0.0617283950617284 0.185185185185185 0.037037037037037
0 0.444444444444444 0.222222222222222 0.333333333333333 0.0987654320987654 0.148148148148148 0.0740740740740741
0 0.333333333333333 0.333333333333333 0.333333333333333 0.111111111111111 0.111111111111111 0.111111111111111
0 0.222222222222222 0.444444444444444 0.333333333333333 0.0987654320987654 0.0740740740740741 0.148148148148148
0 0.111111111111111 0.555555555555556 0.333333333333333 0.0617283950617284 0.037037037037037 0.185185185185185
0 0 0.666666666666667 0.333333333333333 0 0 0.222222222222222
0 0.555555555555556 0 0.444444444444444 0 0.246913580246914 0
0 0.444444444444444 0.111111111111111 0.444444444444444 0.0493827160493827 0.197530864197531 0.0493827160493827
0 0.333333333333333 0.222222222222222 0.444444444444444 0.0740740740740741 0.148148148148148 0.0987654320987654
0 0.222222222222222 0.333333333333333 0.444444444444444 0.0740740740740741 0.0987654320987654 0.148148148148148
0 0.111111111111111 0.444444444444444 0.444444444444444 0.0493827160493827 0.0493827160493827 0.197530864197531
0 0 0.555555555555556 0.444444444444444 0 0 0.246913580246914
0 0.444444444444444 0 0.555555555555556 0 0.246913580246914 0
0 0.333333333333333 0.111111111111111 0.555555555555556 0.037037037037037 0.185185185185185 0.0617283950617284
0 0.222222222222222 0.222222222222222 0.555555555555556 0.0493827160493827 0.123456790123457 0.123456790123457
0 0.111111111111111 0.333333333333333 0.555555555555556 0.037037037037037 0.0617283950617284 0.185185185185185
0 0 0.444444444444444 0.555555555555556 0 0 0.246913580246914
0 0.333333333333333 0 0.666666666666667 0 0.222222222222222 0
0 0.222222222222222 0.111111111111111 0.666666666666667 0.0246913580246914 0.148148148148148 0.0740740740740741
0 0.111111111111111 0.222222222222222 0.666666666666667 0.0246913580246914 0.0740740740740741 0.148148148148148
0 0 0.333333333333333 0.666666666666667 0 0 0.222222222222222
0 0.111111111111111 0 0.888888888888889 0 0.0987654320987654 0
0 0 0.111111111111111 0.888888888888889 0 0 0.0987654320987654
0 0 0 1 0 0 0
